county,total_population,median_household_income,median_age,avg_household_size,pct_under_18,pct_18_to_34,pct_35_to_64,pct_65_plus,vacancy_rate,unemployment_rate
ATLANTIC,274534,56000,40.1,2.65,0.21,0.18,0.39,0.22,0.15,0.06
BERGEN,955732,95000,42.1,2.72,0.21,0.16,0.40,0.23,0.05,0.04
BURLINGTON,461860,80000,41.5,2.69,0.22,0.16,0.40,0.22,0.06,0.04
CAMDEN,523485,62000,37.8,2.68,0.23,0.19,0.38,0.20,0.07,0.06
CAPE MAY,95263,60000,48.5,2.35,0.17,0.14,0.38,0.31,0.30,0.07
CUMBERLAND,154152,50000,36.5,2.85,0.25,0.20,0.37,0.18,0.08,0.08
ESSEX,863728,62000,37.8,2.68,0.22,0.20,0.38,0.20,0.08,0.06
GLOUCESTER,302294,82000,40.2,2.75,0.22,0.17,0.40,0.21,0.05,0.05
HUDSON,724854,72000,34.5,2.59,0.20,0.25,0.39,0.16,0.06,0.05
HUNTERDON,128947,115000,46.3,2.68,0.22,0.12,0.42,0.24,0.04,0.03
MERCER,387340,78000,38.2,2.64,0.21,0.20,0.39,0.20,0.06,0.05
MIDDLESEX,863162,85000,37.5,2.82,0.22,0.19,0.40,0.19,0.05,0.04
MONMOUTH,643615,100000,42.8,2.70,0.22,0.15,0.40,0.23,0.08,0.04
MORRIS,509285,115000,43.5,2.74,0.22,0.14,0.41,0.23,0.04,0.03
OCEAN,637229,65000,45.8,2.55,0.20,0.15,0.37,0.28,0.12,0.05
PASSAIC,524118,65000,36.2,2.95,0.24,0.20,0.38,0.18,0.06,0.06
SALEM,64837,58000,41.0,2.55,0.22,0.17,0.39,0.22,0.08,0.07
SOMERSET,345361,110000,41.0,2.78,0.22,0.16,0.41,0.21,0.04,0.03
SUSSEX,144221,90000,44.5,2.68,0.21,0.14,0.41,0.24,0.06,0.04
UNION,575345,72000,38.5,2.75,0.22,0.19,0.39,0.20,0.05,0.05
WARREN,109632,80000,42.0,2.65,0.21,0.15,0.41,0.23,0.05,0.04
