county,municipality,population
ATLANTIC,ABSECON,9086
ATLANTIC,ATLANTIC,38487
ATLANTIC,BRIGANTINE,7784
ATLANTIC,BUENA VISTASHIP,7068
ATLANTIC,BUENAUGH,4504
ATLANTIC,CORBIN,697
ATLANTIC,COUNTY SUBDIVISIONS NOT DEFINED,0
ATLANTIC,EGG HARBOR,4376
ATLANTIC,EGG HARBORSHIP,47488
ATLANTIC,ESTELL MANOR,1729
ATLANTIC,FOLSOMUGH,1761
ATLANTIC,GALLOWAYSHIP,37697
ATLANTIC,HAMILTONSHIP,27670
ATLANTIC,HAMMONTON,14732
ATLANTIC,LINWOOD,6952
ATLANTIC,LONGPORTUGH,776
ATLANTIC,MARGATE,5331
ATLANTIC,MULLICASHIP,5820
ATLANTIC,NORTHFIELD,8432
ATLANTIC,PLEASANTVILLE,20562
ATLANTIC,PORT REPUBLIC,980
ATLANTIC,SOMERS POINT,10482
ATLANTIC,VENTNOR,9285
ATLANTIC,WEYMOUTHSHIP,2640
BERGEN,ALLENDALEUGH,6817
BERGEN,ALPINEUGH,1449
BERGEN,BERGENFIELDUGH,28223
BERGEN,BOGOTAUGH,8940
BERGEN,CARLSTADTUGH,6341
BERGEN,CLIFFSIDE PARKUGH,25546
BERGEN,CLOSTERUGH,8555
BERGEN,CRESSKILLUGH,9105
BERGEN,DEMARESTUGH,4930
BERGEN,DUMONTUGH,18014
BERGEN,EAST RUTHERFORDUGH,10020
BERGEN,EDGEWATERUGH,14394
BERGEN,ELMWOOD PARKUGH,21261
BERGEN,EMERSONUGH,7281
BERGEN,ENGLEWOOD,29109
BERGEN,ENGLEWOOD CLIFFSUGH,5347
BERGEN,FAIR LAWNUGH,34948
BERGEN,FAIRVIEWUGH,14935
BERGEN,FORT LEEUGH,39799
BERGEN,FRANKLIN LAKESUGH,11007
BERGEN,GARFIELD,32472
BERGEN,GLEN ROCKUGH,12086
BERGEN,HACKENSACK,45758
BERGEN,HARRINGTON PARKUGH,4826
BERGEN,HASBROUCK HEIGHTSUGH,12080
BERGEN,HAWORTHUGH,3342
BERGEN,HILLSDALEUGH,10125
BERGEN,HO-HO-KUSUGH,4234
BERGEN,LEONIAUGH,9273
BERGEN,LITTLE FERRYUGH,10954
BERGEN,LODIUGH,25969
BERGEN,LYNDHURSTSHIP,22332
BERGEN,MAHWAHSHIP,25471
BERGEN,MAYWOODUGH,10040
BERGEN,MIDLAND PARKUGH,7022
BERGEN,MONTVALEUGH,8413
BERGEN,MOONACHIEUGH,3093
BERGEN,NEW MILFORDUGH,16888
BERGEN,NORTH ARLINGTONUGH,16352
BERGEN,NORTHVALEUGH,4769
BERGEN,NORWOODUGH,5657
BERGEN,OAKLANDUGH,12734
BERGEN,OLD TAPPANUGH,5863
BERGEN,ORADELLUGH,8208
BERGEN,PALISADES PARKUGH,20231
BERGEN,PARAMUSUGH,26582
BERGEN,PARK RIDGEUGH,9098
BERGEN,RAMSEYUGH,14739
BERGEN,RIDGEFIELD PARK,13161
BERGEN,RIDGEFIELDUGH,11465
BERGEN,RIDGEWOOD,26043
BERGEN,RIVER EDGEUGH,12022
BERGEN,RIVER VALESHIP,9885
BERGEN,ROCHELLE PARKSHIP,5790
BERGEN,ROCKLEIGHUGH,567
BERGEN,RUTHERFORDUGH,18754
BERGEN,SADDLE BROOKSHIP,14320
BERGEN,SADDLE RIVERUGH,3363
BERGEN,SOUTH HACKENSACKSHIP,2820
BERGEN,TEANECKSHIP,41427
BERGEN,TENAFLYUGH,15299
BERGEN,TETERBOROUGH,91
BERGEN,UPPER SADDLE RIVERUGH,8313
BERGEN,WALDWICKUGH,10068
BERGEN,WALLINGTONUGH,11838
BERGEN,WASHINGTONSHIP,9268
BERGEN,WESTWOODUGH,11241
BERGEN,WOOD-RIDGEUGH,9978
BERGEN,WOODCLIFF LAKEUGH,6096
BERGEN,WYCKOFFSHIP,16802
BURLINGTON,BASS RIVERSHIP,897
BURLINGTON,BEVERLY,2502
BURLINGTON,BORDENTOWN,3989
BURLINGTON,BORDENTOWNSHIP,11836
BURLINGTON,BURLINGTON,9833
BURLINGTON,BURLINGTONSHIP,23879
BURLINGTON,CHESTERFIELDSHIP,9144
BURLINGTON,CINNAMINSONSHIP,17069
BURLINGTON,DELANCOSHIP,4785
BURLINGTON,DELRANSHIP,17794
BURLINGTON,EASTAMPTONSHIP,6215
BURLINGTON,EDGEWATER PARKSHIP,8922
BURLINGTON,EVESHAMSHIP,47200
BURLINGTON,FIELDSBOROUGH,732
BURLINGTON,FLORENCESHIP,12748
BURLINGTON,HAINESPORTSHIP,6024
BURLINGTON,LUMBERTONSHIP,12786
BURLINGTON,MANSFIELDSHIP,8882
BURLINGTON,MAPLE SHADESHIP,19885
BURLINGTON,MEDFORD LAKESUGH,4263
BURLINGTON,MEDFORDSHIP,24388
BURLINGTON,MOORESTOWNSHIP,21337
BURLINGTON,MOUNT HOLLYSHIP,9943
BURLINGTON,MOUNT LAURELSHIP,44929
BURLINGTON,NEW HANOVERSHIP,7192
BURLINGTON,NORTH HANOVERSHIP,7943
BURLINGTON,PALMYRAUGH,7437
BURLINGTON,PEMBERTONSHIP,26926
BURLINGTON,PEMBERTONUGH,1338
BURLINGTON,RIVERSIDESHIP,8008
BURLINGTON,RIVERTONUGH,2764
BURLINGTON,SHAMONGSHIP,6461
BURLINGTON,SOUTHAMPTONSHIP,10308
BURLINGTON,SPRINGFIELDSHIP,3237
BURLINGTON,TABERNACLESHIP,6797
BURLINGTON,WASHINGTONSHIP,562
BURLINGTON,WESTAMPTONSHIP,9104
BURLINGTON,WILLINGBOROSHIP,31846
BURLINGTON,WOODLANDSHIP,1481
BURLINGTON,WRIGHTSTOWNUGH,467
CAMDEN,AUDUBON PARKUGH,1031
CAMDEN,AUDUBONUGH,8695
CAMDEN,BARRINGTONUGH,7022
CAMDEN,BELLMAWRUGH,11677
CAMDEN,BERLINSHIP,5881
CAMDEN,BERLINUGH,7489
CAMDEN,BROOKLAWNUGH,1894
CAMDEN,CAMDEN,71799
CAMDEN,CHERRY HILLSHIP,74934
CAMDEN,CHESILHURSTUGH,1384
CAMDEN,CLEMENTONUGH,5312
CAMDEN,COLLINGSWOODUGH,14135
CAMDEN,GIBBSBOROUGH,2278
CAMDEN,GLOUCESTER,11435
CAMDEN,GLOUCESTERSHIP,65812
CAMDEN,HADDON HEIGHTSUGH,7484
CAMDEN,HADDONFIELDUGH,12456
CAMDEN,HADDONSHIP,15331
CAMDEN,HI-NELLAUGH,883
CAMDEN,LAUREL SPRINGSUGH,2004
CAMDEN,LAWNSIDEUGH,3059
CAMDEN,LINDENWOLDUGH,21337
CAMDEN,MAGNOLIAUGH,4342
CAMDEN,MERCHANTVILLEUGH,3800
CAMDEN,MOUNT EPHRAIMUGH,4638
CAMDEN,OAKLYNUGH,3937
CAMDEN,PENNSAUKENSHIP,36984
CAMDEN,PINE HILLUGH,10698
CAMDEN,RUNNEMEDEUGH,8307
CAMDEN,SOMERDALEUGH,5524
CAMDEN,STRATFORDUGH,6962
CAMDEN,TAVISTOCKUGH,12
CAMDEN,VOORHEESSHIP,30876
CAMDEN,WATERFORDSHIP,10411
CAMDEN,WINSLOWSHIP,39854
CAMDEN,WOODLYNNEUGH,2904
CAPE MAY,AVALONUGH,1459
CAPE MAY,CAPE MAY,2815
CAPE MAY,CAPE MAY POINTUGH,155
CAPE MAY,COUNTY SUBDIVISIONS NOT DEFINED,0
CAPE MAY,DENNISSHIP,6283
CAPE MAY,LOWERSHIP,22123
CAPE MAY,MIDDLESHIP,20340
CAPE MAY,NORTH WILDWOOD,3639
CAPE MAY,OCEAN,11260
CAPE MAY,SEA ISLE,2047
CAPE MAY,STONE HARBORUGH,887
CAPE MAY,UPPERSHIP,12562
CAPE MAY,WEST CAPE MAYUGH,927
CAPE MAY,WEST WILDWOODUGH,427
CAPE MAY,WILDWOOD,5164
CAPE MAY,WILDWOOD CRESTUGH,3104
CAPE MAY,WOODBINEUGH,2264
CUMBERLAND,BRIDGETON,26895
CUMBERLAND,COMMERCIALSHIP,4702
CUMBERLAND,COUNTY SUBDIVISIONS NOT DEFINED,0
CUMBERLAND,DEERFIELDSHIP,3129
CUMBERLAND,DOWNESHIP,1415
CUMBERLAND,FAIRFIELDSHIP,5538
CUMBERLAND,GREENWICHSHIP,683
