id,name,value,avg_revenue,avg_bills,industry
1,Valero,4787846.99,1595949.0,1356556.65,Retail
2,Tony's Pizza,3534837.91,1178279.3,1001537.41,Accommodations/Food
3,City Print,4787846.99,1595949.0,1356556.65,Retail
4,Richlandtown Elementary School,5646284.96,1882094.99,1599780.74,Education
5,Lahaska,1889854.62,629951.54,535458.81,Other Services
6,Wawa,4787846.99,1595949.0,1356556.65,Retail
7,Lot 1,1889854.62,629951.54,535458.81,Other Services
8,Nazareth Area Middle School,5646284.96,1882094.99,1599780.74,Education
9,Floyd R. Shafer Elementary School,5646284.96,1882094.99,1599780.74,Education
10,Miller's Supply,4787846.99,1595949.0,1356556.65,Retail
11,Sunoco,4787846.99,1595949.0,1356556.65,Retail
12,Redner's,4787846.99,1595949.0,1356556.65,Retail
13,CVS Pharmacy,5268371.04,1756123.68,1492705.13,Health/Social
14,Gulf,4787846.99,1595949.0,1356556.65,Retail
15,Assante,3534837.91,1178279.3,1001537.41,Accommodations/Food
16,Mario's Pizzeria,3534837.91,1178279.3,1001537.41,Accommodations/Food
17,Giant,4787846.99,1595949.0,1356556.65,Retail
18,Feasta Pizza,3534837.91,1178279.3,1001537.41,Accommodations/Food
19,Speedway,4787846.99,1595949.0,1356556.65,Retail
20,Klein Farms,4787846.99,1595949.0,1356556.65,Retail
21,Lehigh University Mountaintop Campus,5646284.96,1882094.99,1599780.74,Education
22,Lehigh University Goodman Campus,5646284.96,1882094.99,1599780.74,Education
23,Starbucks,3534837.91,1178279.3,1001537.41,Accommodations/Food
24,Steinway Auto Repairs,4787846.99,1595949.0,1356556.65,Retail
25,Joe's Kwik Mart,4787846.99,1595949.0,1356556.65,Retail
26,Off-road Event Parking,1889854.62,629951.54,535458.81,Other Services
27,Turkey Hill,4787846.99,1595949.0,1356556.65,Retail
28,Center City Pizza,3534837.91,1178279.3,1001537.41,Accommodations/Food
29,Wilke's Pizza,3534837.91,1178279.3,1001537.41,Accommodations/Food
30,Palermo's,3534837.91,1178279.3,1001537.41,Accommodations/Food
31,Delta,4787846.99,1595949.0,1356556.65,Retail
32,Andre's,3534837.91,1178279.3,1001537.41,Accommodations/Food
33,Brigantine Freshery,4787846.99,1595949.0,1356556.65,Retail
34,Ocean Beverage,4787846.99,1595949.0,1356556.65,Retail
35,Prompt-MD Urgent Care Center Of Hoboken,5268371.04,1756123.68,1492705.13,Health/Social
36,Winger's,3534837.91,1178279.3,1001537.41,Accommodations/Food
37,Campus Corner Pizza,3534837.91,1178279.3,1001537.41,Accommodations/Food
38,The Brass Rail,3534837.91,1178279.3,1001537.41,Accommodations/Food
39,Staples,4787846.99,1595949.0,1356556.65,Retail
40,Court Street,3534837.91,1178279.3,1001537.41,Accommodations/Food
41,ShopRite,4787846.99,1595949.0,1356556.65,Retail
42,Atlantic County Library - Mays Landing Branch,5646284.96,1882094.99,1599780.74,Education
43,Hartman's Two,3534837.91,1178279.3,1001537.41,Accommodations/Food
44,The Galley,3534837.91,1178279.3,1001537.41,Accommodations/Food
45,Architectural Antiques Exchange,4787846.99,1595949.0,1356556.65,Retail
46,PNC Bank,16545067.6,5515022.53,4687769.15,Finance/Insurance
47,Walgreens,5268371.04,1756123.68,1492705.13,Health/Social
48,Sam's Club,4787846.99,1595949.0,1356556.65,Retail
49,Target,4787846.99,1595949.0,1356556.65,Retail
50,BJ's Wholesale Club,1889854.62,629951.54,535458.81,Other Services
51,Arby's,3534837.91,1178279.3,1001537.41,Accommodations/Food
52,Papa John's,3534837.91,1178279.3,1001537.41,Accommodations/Food
53,Bonefish Grill,3534837.91,1178279.3,1001537.41,Accommodations/Food
54,Outback Steakhouse,3534837.91,1178279.3,1001537.41,Accommodations/Food
55,Forman Mills,4787846.99,1595949.0,1356556.65,Retail
56,24/7 Convenience Store,4787846.99,1595949.0,1356556.65,Retail
57,Kirkland's,1889854.62,629951.54,535458.81,Other Services
58,Grocery Outlet,4787846.99,1595949.0,1356556.65,Retail
59,WaWa,4787846.99,1595949.0,1356556.65,Retail
60,Pep Boys,4787846.99,1595949.0,1356556.65,Retail
61,Chuck E. Cheese,1889854.62,629951.54,535458.81,Other Services
62,Bennett Chevrolet,4787846.99,1595949.0,1356556.65,Retail
63,Ashton Marsh Elementary School,5646284.96,1882094.99,1599780.74,Education
64,Emma Attales Middle School,5646284.96,1882094.99,1599780.74,Education
65,Conoco,4787846.99,1595949.0,1356556.65,Retail
66,Barnes & Noble,1889854.62,629951.54,535458.81,Other Services
67,David's Bridal,4787846.99,1595949.0,1356556.65,Retail
68,Old Navy,4787846.99,1595949.0,1356556.65,Retail
69,Dick's Sporting Goods,4787846.99,1595949.0,1356556.65,Retail
70,McDonald's,3534837.91,1178279.3,1001537.41,Accommodations/Food
71,Jiffly Lube,4787846.99,1595949.0,1356556.65,Retail
72,Canal's Discount Liquor,4787846.99,1595949.0,1356556.65,Retail
73,JJ's Diner,3534837.91,1178279.3,1001537.41,Accommodations/Food
74,TD Bank,16545067.6,5515022.53,4687769.15,Finance/Insurance
75,Miracle Dry Cleaners,4787846.99,1595949.0,1356556.65,Retail
76,Joe Canal's Discount Liquor,4787846.99,1595949.0,1356556.65,Retail
77,Dawes Avenue Elementary School,5646284.96,1882094.99,1599780.74,Education
78,McNaughton's Garden Centre,4787846.99,1595949.0,1356556.65,Retail
79,Five Below,4787846.99,1595949.0,1356556.65,Retail
80,Applebee's,3534837.91,1178279.3,1001537.41,Accommodations/Food
81,Advance Auto Parts,4787846.99,1595949.0,1356556.65,Retail
82,Big Lots,4787846.99,1595949.0,1356556.65,Retail
83,Wells Fargo,16545067.6,5515022.53,4687769.15,Finance/Insurance
84,Bank of America,16545067.6,5515022.53,4687769.15,Finance/Insurance
85,Republic Bank,16545067.6,5515022.53,4687769.15,Finance/Insurance
86,EZ Food Mart,4787846.99,1595949.0,1356556.65,Retail
87,Chickie's & Pete's,3534837.91,1178279.3,1001537.41,Accommodations/Food
88,Lukoil,4787846.99,1595949.0,1356556.65,Retail
89,Raymour & Flanigan,4787846.99,1595949.0,1356556.65,Retail
90,La-Z-Boy,4787846.99,1595949.0,1356556.65,Retail
91,Exxon,4787846.99,1595949.0,1356556.65,Retail
92,Acme,4787846.99,1595949.0,1356556.65,Retail
93,Sam's Morning Glory,3534837.91,1178279.3,1001537.41,Accommodations/Food
94,Chapter House,3534837.91,1178279.3,1001537.41,Accommodations/Food
95,Whole Foods Market,4787846.99,1595949.0,1356556.65,Retail
96,Kaffa Crossing,3534837.91,1178279.3,1001537.41,Accommodations/Food
97,Five Guys,3534837.91,1178279.3,1001537.41,Accommodations/Food
98,Tappan Zee High School,5646284.96,1882094.99,1599780.74,Education
99,Burger King,3534837.91,1178279.3,1001537.41,Accommodations/Food
100,New City Library,5646284.96,1882094.99,1599780.74,Education
101,Adams School,5646284.96,1882094.99,1599780.74,Education
102,All Saints School,5646284.96,1882094.99,1599780.74,Education
103,Aloysius Fitzpatrick School,5646284.96,1882094.99,1599780.74,Education
104,Ancillae Academy,5646284.96,1882094.99,1599780.74,Education
105,Annunciation School,5646284.96,1882094.99,1599780.74,Education
106,Archbishop Pendergast High School,5646284.96,1882094.99,1599780.74,Education
107,Ardsley School,5646284.96,1882094.99,1599780.74,Education
108,Assumption School,5646284.96,1882094.99,1599780.74,Education
109,Northley Middle School,5646284.96,1882094.99,1599780.74,Education
110,Commodore John Barry Elementary School,5646284.96,1882094.99,1599780.74,Education
111,John Bartram High School,5646284.96,1882094.99,1599780.74,Education
112,Belmont School,5646284.96,1882094.99,1599780.74,Education
113,Benjamin Rush School,5646284.96,1882094.99,1599780.74,Education
114,Berger School,5646284.96,1882094.99,1599780.74,Education
115,Bishop Mcdevitt High School,5646284.96,1882094.99,1599780.74,Education
116,James G. Blaine School,5646284.96,1882094.99,1599780.74,Education
117,Blooming Grove School Building,5646284.96,1882094.99,1599780.74,Education
118,Boyer School,5646284.96,1882094.99,1599780.74,Education
119,Brick Church School,5646284.96,1882094.99,1599780.74,Education
120,The Christian Academy,5646284.96,1882094.99,1599780.74,Education
121,Capitol View School,5646284.96,1882094.99,1599780.74,Education
122,Joseph Catherine Elementary School,5646284.96,1882094.99,1599780.74,Education
123,Christ the King School,5646284.96,1882094.99,1599780.74,Education
124,Church Street School,5646284.96,1882094.99,1599780.74,Education
125,Churchman College,5646284.96,1882094.99,1599780.74,Education
126,Clara Barton School,5646284.96,1882094.99,1599780.74,Education
127,South Elementary School,5646284.96,1882094.99,1599780.74,Education
128,Columbus School,5646284.96,1882094.99,1599780.74,Education
129,Benjamin B. Comegys Elementary School,5646284.96,1882094.99,1599780.74,Education
130,Comly School,5646284.96,1882094.99,1599780.74,Education
131,Coopertown Elementary School,5646284.96,1882094.99,1599780.74,Education
132,Spring Garden School,5646284.96,1882094.99,1599780.74,Education
133,Corpus Christi School,5646284.96,1882094.99,1599780.74,Education
134,Creighton School,5646284.96,1882094.99,1599780.74,Education
135,Delaware Valley High School,5646284.96,1882094.99,1599780.74,Education
136,Delhaas High School,5646284.96,1882094.99,1599780.74,Education
137,Devereux Foundation School,5646284.96,1882094.99,1599780.74,Education
138,Diehl School,5646284.96,1882094.99,1599780.74,Education
139,Disston School,5646284.96,1882094.99,1599780.74,Education
140,Maritime Academy Charter High School,5646284.96,1882094.99,1599780.74,Education
141,Durham Union School,5646284.96,1882094.99,1599780.74,Education
142,Dyers Hill School,5646284.96,1882094.99,1599780.74,Education
143,Edison High School,5646284.96,1882094.99,1599780.74,Education
144,(Franklin Spencer) F. S. Edmonds Elementary School,5646284.96,1882094.99,1599780.74,Education
145,Ellwood Elementary School,5646284.96,1882094.99,1599780.74,Education
146,Elwyn Training School,5646284.96,1882094.99,1599780.74,Education
147,Emanuel School,5646284.96,1882094.99,1599780.74,Education
148,Enfield Junior High School,5646284.96,1882094.99,1599780.74,Education
149,Erwinna School,5646284.96,1882094.99,1599780.74,Education
150,Ethan Allen School,5646284.96,1882094.99,1599780.74,Education
