id,name,avg_revenue,avg_bills
1,City Print,3638217.11,3141876.93
2,Wawa,3289830.89,2464508.02
3,Brigantine Freshery,1580915.5,1484637.94
4,Ocean Beverage,4657422.64,2994408.06
5,Staples,2701335.74,1985963.89
6,Messaging Architects,3625949.37,3272977.62
7,ShopRite,4023723.8,2582152.34
8,New Jersey DMV,4388819.89,3825448.6
9,Target,88074.73,53320.94
10,BJ's Wholesale Club,912655.76,726628.7
11,Unnamed,544535.97,372366.43
12,Forman Mills,1505151.33,1053935.87
13,24/7 Convenience Store,1022320.51,958192.12
14,Kirkland's,2190155.03,1447093.76
15,Grocery Outlet,4306570.81,3367722.99
16,Pep Boys,2862150.15,1872616.67
17,Bennett Chevrolet,3672201.55,2874385.16
18,Ashton Marsh Elementary School,1325608.7,1255271.56
19,Emma Attales Middle School,1969509.49,1813362.52
20,Starbucks,2902437.81,2233255.91
21,Barnes & Noble,4376815.29,3738174.31
22,David's Bridal,2260361.56,1580509.74
23,Old Navy,1224025.03,1128820.35
24,Dick's Sporting Goods,3008967.73,2712044.78
25,McDonald's,4653266.56,3098296.22
26,Jiffly Lube,3181071.0,2755706.44
27,Canal's Discount Liquor,4900524.28,4109148.52
28,Miracle Dry Cleaners,979948.88,790535.72
29,Joe Canal's Discount Liquor,4831934.04,3296153.85
30,Dawes Avenue Elementary School,2624164.87,1725295.04
31,McNaughton's Garden Centre,3938493.08,3494868.96
32,Five Below,3513805.94,2971029.96
33,Advance Auto Parts,3323411.45,2639971.93
34,Big Lots,2816809.51,1817599.83
35,EZ Food Mart,2955575.09,1952253.15
36,Raymour & Flanigan,1246099.37,898727.09
37,La-Z-Boy,1734136.14,1402871.66
38,Acme,435662.69,324223.43
39,Lanoka Harbor Elementary School,1212103.53,1128398.19
40,Hebertsville Elementary School,3351984.31,2050750.06
41,Memorial Middle School,524519.31,422188.59
42,Ocean Road Elementary School,2593011.2,1675218.41
43,Point Pleasant Beach High School,1142068.3,872179.91
44,Veterans Memorial Middle School,79066.15,62136.65
45,Veterans Memorial Elementary School,1115153.16,682420.04
46,Nellie F Bennett Elementary School,989404.25,631068.13
47,Midstreams Elementary School,4946210.03,3771844.04
48,Saint Dominics School,4766054.24,2959325.7
49,Southard Elementary School,2949405.38,2356982.87
50,Saint Veronica Elementary School,3072086.54,2457388.47
51,Aldrich Elementary School,238790.06,173446.45
52,Princeton Avenue School,2686667.74,1932274.16
53,Sylvia Rosenauer Elementary School,1481042.41,1120089.22
54,Arthur Rann School,2230405.01,2037513.08
55,Township Middle School,403361.04,349870.31
56,Upper Township Primary School,3067696.41,2321888.44
57,New York Avenue School,4523970.06,3152327.14
58,Green Grove Elementary School,1199691.52,1050869.25
59,Asbury Park Middle School,2232639.42,1784891.76
60,Township School Number 1,3328311.98,2796553.79
61,Township School Number 5,2617967.97,2087535.23
62,Township School Number 9,153877.98,126388.68
63,Saint Peter School,2050307.82,1703905.83
64,Pine Acres Early Childhood Center School,4769104.38,3550886.02
65,Abram Morris Elementary School,3763907.72,2927888.66
66,Adams School,1608645.68,1342085.02
67,Albion School,3787451.96,3361953.31
68,Ernest J Finizio-Aldene Elementary School,4240094.53,2931504.51
69,Alfred Reed School,1085500.8,823009.65
70,Atlantic Rehabilitation Institute,2544034.26,2314716.87
71,Alpine Public School,897415.92,772542.32
72,Harrison Elementary School,4791174.29,3808976.68
73,Annunciation Regional School,2603457.42,2271261.09
74,Arbor Elementary School,3627525.56,2827694.51
75,Aronson Bell School,1659659.76,1340242.2
76,Assumption School,4527769.17,3999487.42
77,Wood-Ridge Intermediate School,1386081.72,927670.23
78,Augusta Elementary School,3378534.48,2749012.41
79,Bacon School,4025073.26,2881268.86
80,Bacons Neck School,543853.9,441480.92
81,Barber Avenue School,166056.09,114483.95
82,Barber Elementary School,4856311.08,3997611.15
83,Bates Mill School,1118790.43,1052140.78
84,Battin Middle School,3031565.14,2261245.16
85,Torey J Sabatini Elementary School,1913211.67,1467358.54
86,Beers School,2085633.02,1782617.55
87,Carrier Clinic,2471513.73,1949093.82
88,Bender Memorial Academy,3356914.13,2480477.69
89,Benedictine Academy,4169789.25,3607398.77
90,Bergen Square School,4279823.05,3342523.98
91,Berkley Street Elementary School,3018006.39,2649379.1
92,Berkeley Terrace Elementary School,527859.75,348858.54
93,Berlin Community Elementary School,3324888.5,2355918.24
94,Beth Israel School,196359.16,163707.9
95,Beth Shalom School,1732373.68,1524531.74
96,Bethlehem School,269145.18,190820.93
97,Billingsport Elementary School,4267021.16,2859503.19
98,Blessed Sacrament School,933508.76,777132.45
99,Bonnie Brae School,1376454.85,994735.94
100,Seth Boyden Elementary School,3394366.5,3057953.47
101,Bradley Elementary School,515868.3,435578.81
102,Bresinger School,3587786.86,2449972.51
103,Britt School,3142563.55,2114441.52
104,Broad Street School,3895426.23,3303651.25
105,Broadway School,1831670.06,1406892.39
106,Brookside Campus,1622741.15,1424470.55
107,Brookside School,646553.28,494224.1
108,Brown School,1536805.78,1114597.54
109,Bruce Street School,2219599.13,1491969.56
110,Bruriah School for Girls,4690180.22,3386421.26
111,Edward H Bryan Elementary School,2823880.9,1770440.04
112,Bryant Elementary School,3251573.38,2035982.99
113,Buffalo Avenue School,1998650.0,1398781.42
114,Burnet Hill Elementary School,4479367.35,3512924.23
115,Butler Avenue School,3750012.45,3352181.23
116,Richard E Byrd Elementary School,3902051.0,2958030.51
117,Calno School,2013556.81,1508017.71
118,Campbell School,2598033.83,2460978.85
119,Camplain Road School,678331.76,643779.64
120,Canton School,607014.11,404264.52
121,Cartaret Junior School,338555.5,281613.26
122,Cartaret Senior School,3606497.78,3372541.22
123,Catto Elementary School,914238.58,575072.16
124,Cecil School Number 8,1597996.3,1426688.02
125,Central Park Elementary School,2718051.48,2505707.09
126,Central School,603497.37,549883.97
127,Central Elementary School,4662369.83,3681820.62
128,Cherry Hill Elementary School,2240098.4,1891309.02
129,Cherry Hills School,227440.85,207981.83
130,Clara Barton Elementary School,2334621.02,1472767.88
131,Clayville School,2807868.39,1975897.45
132,Cleveland School,3733267.82,2796949.49
133,Cleveland Street School,77957.91,50399.23
134,Clinton Elementary School,1840708.82,1313274.43
135,Clara E Coleman Elementary School,2190632.38,1648640.12
136,College Of Saint Elizabeth,2798130.4,1827670.26
137,Collingswood Senior High School,4169238.34,3826531.91
138,G W Carver Institute,3368967.09,2877904.65
139,American Boychoir School,1235503.26,894229.0
140,Columbus Elementary School,3151378.13,2690072.35
141,Christopher Columbus Elementary School,2837332.96,2395259.51
142,Peterstown Elementary School,3433928.18,2824883.12
143,Calvin Coolidge Elementary School,2787508.87,2324661.3
144,Corpus Christi School,933307.67,767882.72
145,Covenant Nursery School,1684893.07,1340751.91
146,Mister Robert L Craig Elementary School,522837.23,381461.5
147,Cramer Elementary School,1560743.02,986396.09
148,Crescent Park School,3262688.31,2675545.98
149,Culver School,973040.93,737037.67
150,Cicely Tyson School of Performing and Fine Arts,985290.55,818601.45
151,Davis Elementary School,2307988.22,1762203.09
152,Jonathan Dayton High School,1919500.84,1735619.46
153,Charles DeWolf Middle School,1796649.77,1224962.34
154,Delaware Park School,4649073.19,3620023.83
155,Delaware Valley Junior Academy School,4656973.46,3262176.91
156,T Baldwin Demarest Elementary School,2081090.24,1953455.22
157,Doctor Mennies School,4781682.42,3283404.84
158,Don Bosco Technical School,1594272.02,989939.46
159,Don Bosco Prep,1299628.98,882055.71
160,Douglas College,167643.35,146520.91
161,Dwight-Englewood School,267445.21,223437.54
162,East End Elementary School,2795073.5,2110231.07
163,East Vineland School,1433051.36,1203986.95
164,Eastern Christian Institute,1620504.75,1141784.04
165,Edgarton Memorial Elementary School,2382365.65,1707094.98
166,Edgemont Elementary School,949406.9,637907.22
167,Edgewater Park School,982669.6,753987.77
168,Edison Middle School,3746490.9,2761838.44
169,Thomas A Edison Elementary School,4114120.2,2843793.56
170,Eldora School,4084341.82,3359275.65
171,Eleanor G Hewitt Elementary School,4519929.91,4220797.25
172,Elizabeth Haddon Elementary School,2912415.31,2502612.71
173,Westfield Board of Education,2140434.86,1561585.19
174,Langston Hughes School,83372.45,54298.08
175,Elsinboro School,697325.47,493502.86
176,Elsmere School,271792.44,238510.78
177,Emerson Elementary School,3570566.92,2566913.54
178,Luther Lee Emerson Elementary School,1348465.42,1015480.49
179,Epithany School,2376319.7,2203227.15
180,Evergreen Avenue Elementary School,588911.94,478980.09
181,Evergreen Elementary School,1943296.19,1699442.09
182,Fairmount School,2107763.21,1489064.2
183,Fairmount Elementary School,4965030.18,3084345.6
184,Fairview Elementary School,2644965.95,2093714.32
185,Yavneh Academy,1422380.46,1057960.37
186,Far Hills Country Day School,3444379.59,2672563.02
187,Field Street Elementary School,1569173.77,1424628.98
188,Fielding School (School District Offices),1614328.6,1404505.14
189,Fifty-Fourth Street School,406725.62,326902.47
190,George B Fine Elementary School,910770.24,639301.28
191,Fisk School,3495987.72,2159321.55
192,Fleetwood Elementary School,966362.96,866859.61
193,Florence Avenue Elementary School,3852248.61,3050610.15
194,Forest Street Elementary School,3302065.82,3097138.14
195,Benjamin Franklin Elementary School,2120891.83,1862677.34
196,Franklin School,1465118.58,1071785.92
197,Franklin Elementary School,3214687.71,2114554.29
198,Whitney E Houston Academy Elementary School,3918328.82,2481412.51
199,Freeman Elementary School,3641010.88,2549703.47
200,Ganter Avenue Elementary School,4923450.94,4415029.54
201,James A Garfield Elementary School,3900173.06,3210809.95
202,Garfield Elementary School,131937.72,113475.77
203,Lincoln Elementary School,848989.11,636510.31
204,Gateway Regional High School,1709637.84,1297015.66
205,George G White Elementary School,145429.94,135075.76
206,Gibbs School,3918236.27,3148883.52
207,Bertram F Gibbs Elementary School,4669585.25,3272583.66
208,Gilbert Avenue Elementary School,1461976.27,1065581.41
209,Glendola School,1544259.2,1023124.25
210,Godwin School,1449264.43,947497.5
211,Good Intent Elementary School,2062616.18,1789216.82
212,Grant School,1512936.53,1135124.74
213,Grant Elementary School,4292990.5,2589652.24
214,Benjamin C Gregory Elementary School,2918625.53,1999940.33
215,Greystone Park Psychiatric Hospital,3835965.18,2971542.12
216,Grove Street Elementary School,1522423.17,1356208.27
217,Grover Cleveland Junior High School,4793388.05,4146093.06
218,Hagaman Heights School,4620074.12,2871983.99
219,Haines Memorial Sixth Grade Center School,1659788.38,1349942.04
220,J. Christian Bollwage Finance Academy,4733984.93,3127223.06
221,Hamilton Middle School,2850506.37,2152763.25
222,Hamilton School,1314145.82,1179955.34
223,Harmony Township Elementary School,1478832.7,946549.27
224,Henry E Harris Number 1 Elementary School,2137781.59,1494953.05
225,Harrison School,1770685.24,1647691.05
226,Hartridge School,4905789.8,4349449.81
227,Hawthorne Elementary School,3607807.54,2914486.52
228,Hazel Avenue Elementary School,1536915.13,1117371.55
229,Heulings-Coles School,566671.21,480032.45
230,Highland Regional High School,3181210.69,2654836.96
231,John Hill Elementary School,3739646.88,2881110.53
232,Hillcrest School,1418579.06,1332285.82
233,Fanny M Hillers Elementary School,1392929.09,1005808.45
234,Walter O Krumbiegel Elementary School,4441036.49,4068399.18
235,Hillside Elementary School,3667455.28,3339508.06
