address,net_value,tax_rate,tax_amount,lat,lon
604 MOUNTAIN AVE,414100,4.287,17752.47,40.683120,-74.443200
596 MOUNTAIN AVE,467300,4.287,20033.15,40.683250,-74.443100
588 MOUNTAIN AVE,518000,4.287,22206.66,40.683380,-74.443010
580 MOUNTAIN AVE,310000,4.287,13289.70,40.683510,-74.442920
574 MOUNTAIN AVE,367100,4.287,15737.58,40.683630,-74.442830
564 MOUNTAIN AVE,287700,4.287,12333.70,40.683780,-74.442710
560 MOUNTAIN AVE,276900,4.287,11870.70,40.683900,-74.442620
552 MOUNTAIN AVE,284100,4.287,12179.37,40.684050,-74.442500
544 MOUNTAIN AVE,260000,4.287,11146.20,40.684180,-74.442380
150 SUTTON DR,319000,4.287,13675.53,40.679500,-74.446200
140 SUTTON DR,328700,4.287,14091.37,40.679620,-74.446100
132 SUTTON DR,298200,4.287,12783.83,40.679740,-74.445990
124 SUTTON DR,376500,4.287,16140.56,40.679860,-74.445880
118 SUTTON DR,353800,4.287,15167.41,40.679980,-74.445770
110 SUTTON DR,284700,4.287,12205.09,40.680100,-74.445660
102 SUTTON DR,328800,4.287,14095.66,40.680220,-74.445550
96 SUTTON DR,354100,4.287,15180.27,40.680340,-74.445440
88 SUTTON DR,339400,4.287,14550.08,40.680460,-74.445330
82 SUTTON DR,302200,4.287,12955.31,40.680580,-74.445220
76 SUTTON DR,346700,4.287,14863.03,40.680700,-74.445110
12 PLAINFIELD AVE,425000,4.287,18219.75,40.678100,-74.441500
24 PLAINFIELD AVE,398000,4.287,17061.06,40.678220,-74.441380
36 PLAINFIELD AVE,312000,4.287,13375.44,40.678340,-74.441260
48 PLAINFIELD AVE,289500,4.287,12411.77,40.678460,-74.441140
60 PLAINFIELD AVE,445000,4.287,19077.15,40.678580,-74.441020
195 PLAINFIELD AVE,2100000,4.287,90027.00,40.680900,-74.440100
10 SNYDER AVE,356000,4.287,15261.72,40.681200,-74.444500
22 SNYDER AVE,334000,4.287,14317.58,40.681340,-74.444380
34 SNYDER AVE,298000,4.287,12775.26,40.681460,-74.444260
46 SNYDER AVE,415000,4.287,17791.05,40.681580,-74.444140
58 SNYDER AVE,375000,4.287,16076.25,40.681700,-74.444020
5 SPRINGFIELD AVE,298700,4.287,12813.97,40.682400,-74.439800
15 SPRINGFIELD AVE,445000,4.287,19077.15,40.682520,-74.439680
25 SPRINGFIELD AVE,512000,4.287,21949.44,40.682640,-74.439560
35 SPRINGFIELD AVE,368000,4.287,15776.16,40.682760,-74.439440
45 SPRINGFIELD AVE,295000,4.287,12648.65,40.682880,-74.439320
2 BASKING RIDGE RD,3850000,4.287,165049.50,40.676500,-74.450000
14 BASKING RIDGE RD,875000,4.287,37511.25,40.676620,-74.449880
26 BASKING RIDGE RD,623000,4.287,26709.81,40.676740,-74.449760
38 BASKING RIDGE RD,541000,4.287,23192.67,40.676860,-74.449640
50 BASKING RIDGE RD,498000,4.287,21349.26,40.676980,-74.449520
1 CHESTNUT ST,312000,4.287,13375.44,40.677800,-74.443200
7 CHESTNUT ST,267000,4.287,11446.29,40.677920,-74.443080
13 CHESTNUT ST,389000,4.287,16676.43,40.678040,-74.442960
19 CHESTNUT ST,445000,4.287,19077.15,40.678160,-74.442840
25 CHESTNUT ST,356000,4.287,15261.72,40.678280,-74.442720
10 OAK ST,278000,4.287,11917.86,40.679800,-74.440500
20 OAK ST,312000,4.287,13375.44,40.679920,-74.440380
30 OAK ST,345000,4.287,14789.15,40.680040,-74.440260
40 OAK ST,398000,4.287,17061.06,40.680160,-74.440140
50 OAK ST,425600,4.287,18250.63,40.680280,-74.440020
5 MAPLE AVE,315000,4.287,13504.05,40.683900,-74.438500
15 MAPLE AVE,287000,4.287,12303.69,40.684020,-74.438380
25 MAPLE AVE,412000,4.287,17662.44,40.684140,-74.438260
35 MAPLE AVE,365000,4.287,15647.55,40.684260,-74.438140
45 MAPLE AVE,398000,4.287,17061.06,40.684380,-74.438020
3 ELM DR,289000,4.287,12395.43,40.681900,-74.447800
9 ELM DR,312000,4.287,13375.44,40.682020,-74.447680
15 ELM DR,356000,4.287,15261.72,40.682140,-74.447560
21 ELM DR,445000,4.287,19077.15,40.682260,-74.447440
27 ELM DR,398000,4.287,17061.06,40.682380,-74.447320
4 HICKORY LN,302000,4.287,12947.17,40.680600,-74.437900
10 HICKORY LN,345000,4.287,14789.15,40.680720,-74.437780
16 HICKORY LN,398000,4.287,17061.06,40.680840,-74.437660
22 HICKORY LN,412000,4.287,17662.44,40.680960,-74.437540
28 HICKORY LN,367000,4.287,15733.29,40.681080,-74.437420
100 VALLEY RD,312000,4.287,13375.44,40.678500,-74.448900
110 VALLEY RD,298000,4.287,12775.26,40.678620,-74.448780
120 VALLEY RD,445000,4.287,19077.15,40.678740,-74.448660
130 VALLEY RD,512000,4.287,21949.44,40.678860,-74.448540
140 VALLEY RD,398000,4.287,17061.06,40.678980,-74.448420
